name,description,price,stock,createdAt,image
Laptop Ultra,Notebook de alto desempenho para jogos e trabalho profissional,1299.99,15,2024-11-01T10:30:00Z,https://example.com/images/laptop_ultra.jpg
Smartphone Pro,Celular com câmera de 108MP e processador ultrarrápido,799.50,45,2024-11-05T15:45:00Z,https://example.com/images/smartphone_pro.jpg
Teclado Mecânico RGB,Teclado com switches táteis e iluminação customizável,89.90,120,2024-11-10T08:00:00Z,https://example.com/images/teclado_mecanico.jpg
Monitor 4K Curvo,Tela de 32 polegadas com resolução 4K e taxa de atualização de 144Hz,450.00,22,2024-11-12T11:20:00Z,https://example.com/images/monitor_4k.jpg
Mouse Gamer Sem Fio,Mouse ergonômico com sensor de alta precisão e baixa latência,55.75,80,2024-11-15T13:50:00Z,https://example.com/images/mouse_gamer.jpg
Fones de Ouvido ANC,Headphones com cancelamento ativo de ruído e bateria de longa duração,199.00,30,2024-11-18T16:10:00Z,https://example.com/images/fones_anc.jpg
Webcam Full HD,Câmera para streaming e videoconferência com resolução 1080p,35.50,65,2024-11-20T09:40:00Z,https://example.com/images/webcam_hd.jpg
Tablet Compacto,Tablet de 8 polegadas ideal para leitura e navegação,249.99,50,2024-11-22T14:05:00Z,https://example.com/images/tablet_compacto.jpg
Disco SSD 1TB,Armazenamento de estado sólido com velocidade de leitura/gravação superior,75.20,95,2024-11-25T17:30:00Z,https://example.com/images/ssd_1tb.jpg
Smartwatch Fitness,Relógio inteligente com monitoramento de saúde e GPS integrado,110.40,40,2024-11-28T10:55:00Z,https://example.com/images/smartwatch_fitness.jpg
